szcezny,71,P
skorupski,1,P
marchetti,1,P
handanovic,47,P
padelli,1,P
cragno,1,P
donnarumma,48,P
perin,7,P
reina,3,P
strakosha,30,P
proto,1,P
sportiello,1,P
olsen,40,P
consigli,3,P
mirante,1,P
meret,10,P
gollini,10,P
berisha,5,P
audero,15,P
ospina,28,P
sorrentino,6,P
sirigu,24,P
lafont,9,P
dragowski,1,P
alex sandro,28,D
florenzi,22,D
vrsaljko,12,D
larsen,2,D
klavan,1,D
d’ambrosio,1,D
karsdrop,1,D
gosens,1,D
bonucci,18,D
acerbi,20,D
pezzella,8,D
dicks,1,D
radu,1,D
magnani,1,D
mancini,1,D
barzagli,1,D
caldara,10,D
chiellini,14,D
mario rui,5,D
romagnoli,8,D
g. ferari,3,D
criscito,6,D
cacciatore,4,D
ghoulam,15,D
skriniar,20,D
koulibali,20,D
de silvestri,11,D
albiol,10,D
masiello,11,D
milenkovic,6,D
cionek,3,D
hateboer,5,D
lirola,10,D
de vrij,27,D
kolarov,26,D
tonelli,4,D
toloi ,13,D
aina,6,D
benatia,2,D
mattiello,1,D
andersen,4,D
asamoah,14,D
rodriguez,12,D
srna,8,D
biraghi,4,D
berezinski,2,D
jaroszynsci,1,D
nuytink,1,D
cancelo,30,D
calabria,12,D
n’kolou,12,D
hysaj,11,D
malcuit,1,D
de sciglio,5,D
di lorenzo,1,D
conti,2,D
manolas,13,D
izzo,8,D
fazio,12,D
vihoc,2,D
palomino,3,D
bruno alves,1,D
ekong,1,D
samir,1,D
boateng,60,C
benassi,25,C
brozovic,15,C
ramirez,5,C
meite,2,C
ciciretti,1,C
saponara,1,C
de rossi,1,C
pjanic,42,C
milinkovic savic,60,C
chiesa,69,C
calhanoglu,51,C
bentancur,1,C
stulac,1,C
birsa,1,C
lulic,1,C
pastore,35,C
zielinski,55,C
bonaventura,42,C
romulo,7,C
j pedro,5,C
lazzari ,8,C
soriano,8,C
de roon,3,C
parolo,15,C
khedira,39,C
bernardeschi,41,C
n’zonzi,7,C
verdi,7,C
biglia,1,C
rincon,1,C
berenguer,2,C
kessie,18,C
l alberto,47,C
allan,32,C
ilicic,54,C
barella,12,C
castro,3,C
leiva,5,C
kurtic,2,C
d. costa,66,C
matuidi,28,C
cuadrado,17,C
freuler,10,C
giaccherini,14,C
eysseric,1,C
baselli,1,C
krunic,2,C
naingollan,47,C
emre can,17,C
veretout,30,C
pasalic,22,C
ruiz,1,C
marusic,1,C
berisha,1,C
zajic,2,C
perisic,72,C
hamisk,24,C
cristante,21,C
perotti,11,C
gerson,17,C
de paul ,11,C
praet,3,C
dzemaili,5,C
schick,12,A
dzeko,151,A
mertens,91,A
pavoletti,21,A
politano,18,A
stepinski,2,A
cr7,301,A
suso,31,A
lasagna,27,A
berardi,18,A
ciano,1,A
barrow,1,A
icardi,254,A
milik,73,A
petagna,1,A
rigoni,1,A
favilli,1,A
la gumina,1,A
defrel,51,A
dybala,160,A
callejon,45,A
antenucci,18,A
perica,3,A
gomez,49,A
keita,11,A
insigne,93,A
zapata,77,A
quagliarella,62,A
gervinho,61,A
kluivert,20,A
higuain,210,A
mandzukic,80,A
iago falque,55,A
cutrone,2,A
lautaro,5,A
el shara,3,A
belotti,131,A
simeone,99,A
caputo,2,A
pandev,1,A
under,17,A
falcinelli,1,A
immobile,290,A
piatek,55,A
pjac,10,A
inglese,20,A
zaza,20,A
babacar,5,A
