gollini,30,P
dragowski,14,P
audero,6,P
pau lopez,41,P
mirante,1,P
skorupski,8,P
sirigu,46,P
consigli,13,P
rosati,1,P
donnarumma,51,P
berisha,1,P
reina,1,P
stracosha,44,P
proto,1,P
sepe,1,P
handanovic,81,P
padelli,1,P
cragno,1,P
scezny,80,P
buffon,10,P
radu,5,P
meret,67,P
ospina,1,P
karnezis,1,P
ghoulam,8,D
zapata,1,D
ghiglione,2,D
calabria,4,D
teo hernandez,3,D
de silvestri,10,D
rodriguez,4,D
rui,1,D
de ligt,27,D
lirola,8,D
florenzi,27,D
venuti,1,D
vavro,1,D
zappacosta,1,D
rugani,1,D
colley,1,D
koulibali,20,D
acerbi,15,D
izzo,20,D
romagnoli,6,D
gagliolo,1,D
tomyasu,1,D
rogerio,1,D
lu pellegrini,2,D
manolas,18,D
asamoah,12,D
spinazzola,5,D
de vrij,7,D
milenkovic,5,D
castagne,5,D
d’ambrosio,9,D
palomino,4,D
kolarov,53,D
hateboer,14,D
skriniar,11,D
criscito,9,D
larsen,1,D
becao,1,D
dalbert,1,D
nkolou,1,D
bruno alves,12,D
gosens,6,D
romero,5,D
pezzella,4,D
di lorenzo,12,D
smalling,5,D
igor,2,D
murillo,1,D
bonucci,16,D
a sandro,22,D
danilo,7,D
sabelli,1,D
rispoli,1,D
ferrari,1,D
de sciglio,1,D
demiral,1,D
godin,16,D
toloi,9,D
mancini,9,D
ceppitelli,1,D
radu,1,D
djimsiti,1,D
murru,1,D
bonifazi,1,D
pjanic,42,C
callejon,53,C
sensi,42,C
allan,13,C
castrovilli,3,C
di francesco,16,C
castro ,1,C
benassi,1,C
suso,59,C
gomez,72,C
pulgar,23,C
badelj,1,C
duncan,2,C
ramirez,1,C
kucka,1,C
leiva,1,C
lazzari,17,C
ruiz,26,C
zaniolo,69,C
chalanoglu,25,C
kurtic,16,C
brozovic,20,C
pasalic,4,C
obiang,1,C
paquetà,26,C
kessie,21,C
ribery,46,C
birsa,5,C
malinovski,8,C
bernardeschi,14,C
barella,6,C
cristante,3,C
chiesa,69,C
l alberto,65,C
naingollan,35,C
de paul,33,C
kluivert,25,C
tonali,1,C
matuidi,1,C
bonaventura,1,C
d costa,84,C
mancosu,1,C
fofana,2,C
rabiot,2,C
freuler,2,C
saponara,1,C
verre,1,C
can,1,C
zielinski,31,C
ramsey,20,C
pellegrini,14,C
traore,9,C
soriano,5,C
rog,7,C
schone,7,C
kulusoveski,5,C
milinkovic,60,C
under,77,C
candreva,21,C
kedhira,6,C
berenguer,1,C
lazaro,1,C
nandez,1,C
de roon,1,C
belotti,75,A
lautaro martinez,100,A
boateng,34,A
ilicic,47,A
vlhaovic,15,A
sanchez,75,A
immobile ,205,A
quagliarella,64,A
caicedo,1,A
caprari,1,A
destro,1,A
mandzukic,1,A
ronaldo,311,A
sottil,3,A
dybala,36,A
lozano,12,A
joao pedro,11,A
lapadula,8,A
mertens,87,A
balotelli,33,A
petagna,11,A
sansone,1,A
iago,19,A
defrel,4,A
dzekp,182,A
insigne,115,A
nestowroski,1,A
berardi,19,A
zaza,30,A
palacio,2,A
gervinho,41,A
inglese,20,A
zapata,113,A
milik,50,A
muriel,71,A
gabbiadini,1,A
piatek,100,A
lasagna,20,A
kouame,35,A
caputo,25,A
simeone,25,A
higuain,118,A
lukaku,205,A
correa,71,A
pinamonti,30,A
orsolini,5,A
donnarumma,5,A
leao,1,A
